detid,avg_speed,speed_std,avg_flow,limit,lat,long,fclass,speed_gap,risk_cluster,risk_label
N53272C,32.039552816132264,16.72038658197834,478.12894375857337,48,53.583936,-2.427715,primary,-15.960447183867736,1,MEDIUM RISK: Unstable Flow
N53272D,44.34602417259758,13.031524716299835,413.1280615815255,48,53.583116,-2.431516,primary,-3.6539758274024194,1,MEDIUM RISK: Unstable Flow
N53272E,35.47883199938798,17.05578467136886,224.82012405237768,48,53.584305,-2.429177,secondary,-12.521168000612022,1,MEDIUM RISK: Unstable Flow
N53281G,36.73678906425794,11.89067127691679,613.0229419703104,48,53.583536,-2.429314,primary,-11.263210935742059,0,LOW RISK: Congestion/Slow
N53291A,41.96256304773999,25.145952368163538,413.31149825783973,48,53.5824,-2.426646,secondary,-6.037436952260009,1,MEDIUM RISK: Unstable Flow
N53291C,30.94215099044882,14.887156777174093,380.10936431989063,48,53.579807,-2.426774,primary,-17.05784900955118,1,MEDIUM RISK: Unstable Flow
N53291Y,40.9865141165411,25.514297736463792,135.1404958677686,48,53.581137,-2.428512,secondary,-7.013485883458898,1,MEDIUM RISK: Unstable Flow
N53311D,30.496714079013184,6.892539275318016,838.011088011088,48,53.587113,-2.43011,trunk,-17.503285920986816,3,LOW RISK: Congestion/Slow
N53311L,50.09900284542644,22.55624315092779,67.83811475409836,48,53.58784,-2.430138,trunk,2.0990028454264404,1,MEDIUM RISK: Unstable Flow
N53312C,32.87131131310286,13.979110690851192,596.9663072776281,48,53.586332,-2.428878,trunk,-15.128688686897142,1,MEDIUM RISK: Unstable Flow
N53312S,38.34817450631472,14.418374733101581,348.0245566166439,48,53.584417,-2.429311,secondary,-9.65182549368528,1,MEDIUM RISK: Unstable Flow
N53312T,32.8790172339427,13.980039628616913,557.066037735849,48,53.586352,-2.428846,trunk,-15.120982766057303,1,MEDIUM RISK: Unstable Flow
N53312U,37.12878836094666,17.552270074964348,328.0192307692308,48,53.588253,-2.430041,trunk,-10.871211639053342,1,MEDIUM RISK: Unstable Flow
N53382G,40.33159243555543,12.34309592093577,417.0464480874317,48,53.588768,-2.430355,trunk,-7.668407564444571,1,MEDIUM RISK: Unstable Flow
N53391J,35.781446462612344,10.812994101161134,537.8623481781376,48,53.584469,-2.427326,trunk,-12.218553537387656,0,LOW RISK: Congestion/Slow
N53391K,44.83893642119453,21.105874956244115,87.5846313603323,48,53.585846,-2.428103,trunk,-3.161063578805468,1,MEDIUM RISK: Unstable Flow
N53391M,42.85896101082009,10.048309320432038,487.33106267029973,48,53.58765,-2.428859,trunk,-5.141038989179911,1,MEDIUM RISK: Unstable Flow
N53391N,43.044079244718645,10.326919907417198,694.6888586956521,48,53.587644,-2.428934,trunk,-4.955920755281355,0,LOW RISK: Congestion/Slow
N53391Q,30.024577901638345,21.52464964103816,188.80416666666667,48,53.586435,-2.427698,trunk,-17.975422098361655,1,MEDIUM RISK: Unstable Flow
N53411O,46.891414968269956,15.189149174995705,136.47657512116317,64,53.5826,-2.425032,trunk_link,-17.108585031730044,1,MEDIUM RISK: Unstable Flow
N53421R,40.08340677417066,17.031859887372697,285.6920529801325,48,53.585287,-2.42216,primary,-7.916593225829338,1,MEDIUM RISK: Unstable Flow
N53421U,44.96553600945434,11.557472612757863,502.835635359116,48,53.58542,-2.417802,primary,-3.0344639905456603,1,MEDIUM RISK: Unstable Flow
N53481G,47.884095300216046,16.962963685471685,157.5985401459854,48,53.57995,-2.421588,primary,-0.1159046997839539,1,MEDIUM RISK: Unstable Flow
